Country,literacy_rate_prct_2015
Afghanistan,38.15612
Åland Islands,
Albania,97.62414
Algeria,80.19891
American Samoa,
Andorra,
Angola,71.14099
Anguilla,
Antigua and Barbuda,
Argentina,98.08516
Armenia,99.7673
Aruba,97.52416
Australia,
Austria,
Azerbaijan,99.81078
Bahamas,
Bahrain,95.70295
Bangladesh,61.54588
Barbados,
Belarus,99.7289
Belgium,
Belize,82.68886
Benin,38.44714
Bermuda,
Bhutan,64.88745
Bolivia (Plurinational State of),95.65097
Bosnia and Herzegovina,98.47681
Botswana,88.46493
Brazil,92.58371
British Virgin Islands,
Brunei Darussalam,96.4083
Bulgaria,98.38898
Burkina Faso,36.02263
Burundi,85.62481
Cambodia,77.18598
Cameroon,74.98557
Canada,
Cape Verde,87.57656
Cayman Islands,
Central African Republic,36.75261
Chad,40.17137
Channel Islands,
Chile,97.29664
China,96.37548
"China, Hong Kong Special Administrative Region",
"China, Macao Special Administrative Region",96.2276
Colombia,94.67554
Comoros,77.76355
Congo,79.31117
Cook Islands,
Costa Rica,97.75527
Côte d'Ivoire,43.11306
Croatia,99.27412
Cuba,99.71157
Curaçao,
Cyprus,99.06569
Czech Republic,
Democratic People's Republic of Korea,99.99924
Democratic Republic of the Congo,77.28964
Denmark,
Djibouti,
Dominica,
Dominican Republic,91.79077
Ecuador,94.45504
Egypt,75.23647
El Salvador,88.38683
Equatorial Guinea,95.25692
Eritrea,73.76997
Estonia,99.82517
Ethiopia,49.0907
Faeroe Islands,
Falkland Islands (Malvinas),
Fiji,
Finland,
France,
French Guiana,
French Polynesia,
Gabon,83.17981
Gambia,55.54719
Georgia,99.7609
Germany,
Ghana,76.57281
Gibraltar,
Greece,97.68686
Greenland,
Grenada,
Guadeloupe,96.50359
Guam,99.78904
Guatemala,79.3053
Guernsey,
Guinea,30.40826
Guinea-Bissau,59.91057
Guyana,88.49968
Haiti,60.73228
Holy See,
Honduras,88.48381
Hungary,99.05043
Iceland,
India,72.13095
Indonesia,93.88262
Iran (Islamic Republic of),86.84683
Iraq,79.6875
Ireland,
Isle of Man,
Israel,
Italy,99.15498
Jamaica,88.69002
Japan,
Jersey,
Jordan,96.66592
Kazakhstan,99.79017
Kenya,77.96503
Kiribati,
Kuwait,96.15905
Kyrgyzstan,99.52097
Lao People's Democratic Republic,79.8604
Latvia,99.89138
Lebanon,93.94225
Lesotho,79.36094
Liberia,47.60013
Libya,91.02328
Liechtenstein,
Lithuania,99.81988
Luxembourg,
Madagascar,64.6563
Malawi,65.79427
Malaysia,94.6446
Maldives,99.30682
Mali,38.70194
Malta,94.1388
Marshall Islands,
Martinique,96.9893
Mauritania,52.102
Mauritius,90.62253
Mayotte,
Mexico,94.38968
Micronesia (Federated States of),
Monaco,
Mongolia,98.38402
Montenegro,98.73229
Montserrat,
Morocco,72.37732
Mozambique,58.77289
Myanmar,93.09415
Namibia,81.94129
Nauru,
Nepal,64.66379
Netherlands,
Netherlands Antilles,
New Caledonia,96.938
New Zealand,
Nicaragua,82.81734
Niger,19.12979
Nigeria,59.56797
Niue,
Norfolk Island,
Northern Mariana Islands,
Norway,
Oman,94.75601
Pakistan,58.68314
Palau,99.52397
Palestine,96.65014
Panama,95.04833
Papua New Guinea,64.23469
Paraguay,95.56244
Peru,94.47953
Philippines,96.2892
Pitcairn,
Poland,99.79141
Portugal,95.67814
Puerto Rico,93.33323
Qatar,97.75735
Republic of Korea,
Republic of Moldova,99.3626
Réunion,93.87996
Romania,98.76871
Russian Federation,99.72078
Rwanda,70.51592
Saint Helena,
Saint Kitts and Nevis,
Saint Lucia,
Saint Pierre and Miquelon,
Saint Vincent and the Grenadines,
Saint-Barthélemy,
Saint-Martin (French part),
Samoa,99.01502
San Marino,
Sao Tome and Principe,74.91602
Saudi Arabia,94.65114
Senegal,55.66825
Serbia,98.10805
Seychelles,95.2136
Sierra Leone,48.09047
Singapore,96.83772
Sint Maarten (Dutch part),
Slovakia,99.6192
Slovenia,99.71596
Solomon Islands,
Somalia,
South Africa,94.26664
South Sudan,31.93522
Spain,98.09797
Sri Lanka,92.63448
Sudan,75.89989
Sudan (pre-secession),
Suriname,95.57191
Svalbard and Jan Mayen Islands,
Swaziland,87.47019
Sweden,
Switzerland,
Syrian Arab Republic,86.43327
Tajikistan,99.77334
Thailand,96.66507
The former Yugoslav Republic of Macedonia,97.82632
Timor-Leste,67.52085
Togo,66.5473
Tokelau,
Tonga,99.39788
Trinidad and Tobago,98.96305
Tunisia,81.77949
Turkey,95.01062
Turkmenistan,99.69291
Turks and Caicos Islands,
Tuvalu,
Uganda,73.8633
Ukraine,99.76476
United Arab Emirates,93.83585
United Kingdom of Great Britain and Northern Ireland,
United Republic of Tanzania,80.32054
United States of America,
United States Virgin Islands,
Uruguay,98.42512
Uzbekistan,99.59366
Vanuatu,85.22518
Venezuela (Bolivarian Republic of),95.36245
Viet Nam,94.50683
Wallis and Futuna Islands,
Western Sahara,
Yemen,70.07401
Zambia,63.37661
Zimbabwe,86.50256
Education For All Regions,
  World,86.30023
  Developed countries,
  Developing countries,82.92199
  Countries in transition,99.60544
  Arab States,80.5126
  Central and Eastern Europe,98.73643
  Central Asia,99.65092
  East Asia and the Pacific,95.8546
  Latin America and the Caribbean,93.23365
