Country,Region,EN_de_jure_pop,EF_proficency_rate_2015,Primary language?
Algeria,Middle East and North Africa,,40.34,No
Antigua and Barbuda,Caribbean,85000,,Yes
Argentina,Latinmerica,,60.26,No
Australia,Oceania,23520000,,Yes
Austria,Europe,,61.97,No
Azerbaijan,Europe,,46.12,No
Bahamas,Caribbean,331000,,Yes
Barbados,Caribbean,294000,,Yes
Belgium,Europe,,59.13,No
Belize,Caribbean,288000,,Yes
Botswana,Africa,1882000,,No
Brazil,Latinmerica,,51.05,No
Cambodia,Asia,,39.15,No
Cameroon,Africa,22534532,,No
Canada,North America,35985751,,"Yes (ex. Quebec, parts of New Brunswick)"
Chile,Latinmerica,,51.88,No
China,Asia,,49.41,No
Colombia,Latinmerica,,46.54,No
Cook Islands,Oceania,20000,,Yes
Costa Rica,Latinmerica,,50.53,No
Czech Republic,Europe,,59.01,No
Denmark,Europe,,70.05,No
Dominica,Caribbean,73000,,Yes
Dominican Republic,Latinmerica,,56.71,No
Ecuador,Latinmerica,,51.67,No
Egypt,Middle East and North Africa,,46.73,No
El Salvador,Latinmerica,,45.52,No
Estonia,Europe,,63.73,No
Federated States of Micronesia,Oceania,111000,,No
Fiji,Oceania,828000,,No
Finland,Europe,,65.32,No
France,Europe,,51.84,No
Gambia,Africa,1709000,,No
Germany,Europe,,61.83,No
Ghana,Africa,27000000,,Yes
Grenada,Caribbean,106000,,Yes
Guatemala,Latinmerica,,49.67,No
Guyana,Caribbean,738000,,Yes
Hong Kong,Asia,,52.7,No
Hungary,Europe,,57.9,No
India,Asia,1247540000,,No (but official and educational)
India,Asia,,58.21,No
Indonesia,Asia,,52.91,No
Iran,Middle East and North Africa,,46.59,No
Iraq,Middle East and North Africa,,40.69,No
Ireland,Europe,4581000,,No
Italy,Europe,,54.02,No
Jamaica,Caribbean,2714000,,Yes
Japan,Asia,,53.57,No
Jordan,Middle East and North Africa,,47.33,No
Kazakhstan,Asia,,47.04,No
Kenya,Africa,45010056,,Yes
Kiribati,Oceania,95000,,No
Kuwait,Middle East and North Africa,,42.65,No
Latvia,Europe,,57.16,No
Lesotho,Africa,2008000,,Yes
Liberia,Africa,3750000,,No
Libya,Middle East and North Africa,,37.86,No
Lithuania,Europe,,55.08,No
Luxembourg,Europe,,63.45,No
Malawi,Africa,16407000,,No
Malaysia,Asia,,60.3,No
Malta,Europe,430000,,No (but official and educational)
Marshall Islands,Oceania,59000,,No
Mexico,Latinmerica,,51.34,No
Mongolia,Asia,,43.64,No
Morocco,Middle East and North Africa,,47.4,No
Namibia,Africa,2074000,,Yes
Nauru,Oceania,10000,,No
Netherlands,Europe,,70.58,No
New Zealand,Oceania,4294000,,Yes
Nigeria,Africa,182202000,,Yes
Niue,Oceania,1600,,No
Norway,Europe,,67.83,No
Oman,Middle East and North Africa,,46.34,No
Pakistan,Asia,199085847,,No (but official and educational)
Pakistan,Asia,,49.96,No
Palau,Oceania,20000,,No
Panama,Latinmerica,,48.77,No
Papua New Guinea,Oceania,7059653,,No
Peru,Latinmerica,,52.46,No
Philippines,Asia,102885100,,No (but official and educational)
Poland,Europe,,62.95,No
Portugal,Europe,,60.61,No
Qatar,Middle East and North Africa,,43.72,No
Romania,Europe,,59.69,No
Russia,Europe,,51.59,No
Rwanda,Africa,11262564,,No (but official and educational)
Saint Kitts and Nevis,Caribbean,50000,,Yes
Saint Lucia,Caribbean,165000,,No
Saint Vincent and the Grenadines,Caribbean,120000,,Yes
Samoa,Oceania,188000,,No
Saudi Arabia,Middle East and North Africa,,39.93,No
Seychelles,Africa,87000,,No
Sierra Leone,Africa,6190280,,No
Singapore,Asia,5469700,61.08,Yes
Slovakia,Europe,,56.34,No
Slovenia,Europe,,64.97,No
Solomon Islands,Oceania,507000,,No
Somaliland,Africa,3500000,,No
South Africa,Africa,54956900,,No (but official and educational)
South Korea,Asia,,54.52,No
South Sudan,Africa,12340000,,No
Spain,Europe,,56.8,No
Sri Lanka,Asia,,47.89,No
Sudan,Africa,40235000,,No
Swaziland,Africa,1141000,,No
Sweden,Europe,,70.94,No
Switzerland,Europe,,58.43,No
Taiwan,Asia,,53.18,No
Tanzania,Africa,51820000,,No
Thailand,Asia,,45.35,No
Tonga,Oceania,100000,,No
Trinidad and Tobago,Caribbean,1333000,,Yes
Turkey,Europe,,47.62,No
Tuvalu,Oceania,11000,,No
U.A.E.,Middle East and North Africa,,50.87,No
Uganda,Africa,37873253,,Yes
Ukraine,Europe,,52.61,No
United Kingdom,Europe,63705000,,Yes
United States of America,North America,318224000,,Yes
Uruguay,Latinmerica,,50.25,No
Vanuatu,Oceania,226000,,No
Venezuela,Latinmerica,,46.14,No
Vietnam,Asia,,53.81,No
Yemen,Middle East and North Africa,,47.6,No
Zambia,Africa,16212000,,No
Zimbabwe,Africa,13061239,,Yes
